w_rrr,w_l,w_t,w_dp,best_scenario,best_prs
0.0,0.0,0.0,1.0,UCI k=5 + DP eps=0.1,0.1
0.0,0.0,0.1,0.9,UCI k=5 + DP eps=0.1,0.09
0.0,0.0,0.2,0.8,UCI k=5 + DP eps=0.1,0.08
0.0,0.0,0.30000000000000004,0.7,UCI k=5 + DP eps=0.1,0.07
0.0,0.0,0.4,0.6,UCI k=5 + DP eps=0.1,0.06
0.0,0.0,0.5,0.5,UCI k=5 + DP eps=0.1,0.05
0.0,0.0,0.6000000000000001,0.4,UCI k=5 + DP eps=0.1,0.04
0.0,0.0,0.7000000000000001,0.3,UCI k=5 + DP eps=0.1,0.03
0.0,0.0,0.8,0.2,UCI k=5 + DP eps=0.1,0.02
0.0,0.0,0.9,0.1,UCI k=5 + DP eps=0.1,0.01
0.0,0.0,1.0,0.0,UCI k=3 release,0.0
0.0,0.1,0.0,0.9,UCI k=5 + DP eps=0.1,0.09
0.0,0.1,0.1,0.8,UCI k=5 + DP eps=0.1,0.08
0.0,0.1,0.2,0.7,UCI k=5 + DP eps=0.1,0.07
0.0,0.1,0.30000000000000004,0.6,UCI k=5 + DP eps=0.1,0.06
0.0,0.1,0.4,0.5,UCI k=5 + DP eps=0.1,0.05
0.0,0.1,0.5,0.4,UCI k=5 + DP eps=0.1,0.04
0.0,0.1,0.6000000000000001,0.3,UCI k=5 + DP eps=0.1,0.03
0.0,0.1,0.7000000000000001,0.2,UCI k=5 + DP eps=0.1,0.02
0.0,0.1,0.8,0.1,UCI k=5 + DP eps=0.1,0.01
0.0,0.1,0.9,0.0,UCI k=3 release,0.0
0.0,0.2,0.0,0.8,UCI k=5 + DP eps=0.1,0.08
0.0,0.2,0.1,0.7,UCI k=5 + DP eps=0.1,0.07
0.0,0.2,0.2,0.6,UCI k=5 + DP eps=0.1,0.06
0.0,0.2,0.30000000000000004,0.5,UCI k=5 + DP eps=0.1,0.05
0.0,0.2,0.4,0.4,UCI k=5 + DP eps=0.1,0.04
0.0,0.2,0.5,0.3,UCI k=5 + DP eps=0.1,0.03
0.0,0.2,0.6000000000000001,0.2,UCI k=5 + DP eps=0.1,0.02
0.0,0.2,0.7000000000000001,0.1,UCI k=5 + DP eps=0.1,0.01
0.0,0.2,0.8,0.0,UCI k=3 release,0.0
0.0,0.30000000000000004,0.0,0.7,UCI k=5 + DP eps=0.1,0.07
0.0,0.30000000000000004,0.1,0.6,UCI k=5 + DP eps=0.1,0.06
0.0,0.30000000000000004,0.2,0.5,UCI k=5 + DP eps=0.1,0.05
0.0,0.30000000000000004,0.30000000000000004,0.4,UCI k=5 + DP eps=0.1,0.04
0.0,0.30000000000000004,0.4,0.3,UCI k=5 + DP eps=0.1,0.03
0.0,0.30000000000000004,0.5,0.2,UCI k=5 + DP eps=0.1,0.02
0.0,0.30000000000000004,0.6000000000000001,0.1,UCI k=5 + DP eps=0.1,0.01
0.0,0.30000000000000004,0.7000000000000001,0.0,UCI k=3 release,0.0
0.0,0.4,0.0,0.6,UCI k=5 + DP eps=0.1,0.06
0.0,0.4,0.1,0.5,UCI k=5 + DP eps=0.1,0.05
0.0,0.4,0.2,0.4,UCI k=5 + DP eps=0.1,0.04
0.0,0.4,0.30000000000000004,0.3,UCI k=5 + DP eps=0.1,0.03
0.0,0.4,0.4,0.2,UCI k=5 + DP eps=0.1,0.02
0.0,0.4,0.5,0.1,UCI k=5 + DP eps=0.1,0.01
0.0,0.4,0.6000000000000001,0.0,UCI k=3 release,0.0
